file	error	chapter	title
s02-04-mapping-the-chapters-of-this-b.html:	href=judge_1.0-ch02#judge_1.0-ch02	Chapter 2	What Is Organizational Capacity for Change?
s02-04-mapping-the-chapters-of-this-b.html:	href=judge_1.0-ch03#judge_1.0-ch03	Chapter 3	OCC Dimension 1: Trustworthy Leadership
s02-04-mapping-the-chapters-of-this-b.html:	href=judge_1.0-ch04#judge_1.0-ch04	Chapter 4	OCC Dimension 2: Trusting Followers
s02-04-mapping-the-chapters-of-this-b.html:	href=judge_1.0-ch05#judge_1.0-ch05	Chapter 5	OCC Dimension 3: Capable Champions
s02-04-mapping-the-chapters-of-this-b.html:	href=judge_1.0-ch06#judge_1.0-ch06	Chapter 6	OCC Dimension 4: Involved Midmanagement
s02-04-mapping-the-chapters-of-this-b.html:	href=judge_1.0-ch07#judge_1.0-ch07	Chapter 7	OCC Dimension 5: Systems Thinking
s02-04-mapping-the-chapters-of-this-b.html:	href=judge_1.0-ch08#judge_1.0-ch08	Chapter 8	OCC Dimension 6: Communication Systems
s02-04-mapping-the-chapters-of-this-b.html:	href=judge_1.0-ch09#judge_1.0-ch09	Chapter 9	OCC Dimension 7: Accountable Culture
s02-04-mapping-the-chapters-of-this-b.html:	href=judge_1.0-ch10#judge_1.0-ch10	Chapter 10	OCC Dimension 8: Innovative Culture
s02-04-mapping-the-chapters-of-this-b.html:	href=judge_1.0-ch11#judge_1.0-ch11	Chapter 11	The Big Picture
s02-04-mapping-the-chapters-of-this-b.html:	href=judge_1.0-ch12appA#judge_1.0-ch12appA	Chapter 12	Appendix A: OCC Survey Instrument
s02-04-mapping-the-chapters-of-this-b.html:	href=judge_1.0-ch13appB#judge_1.0-ch13appB	Chapter 13	Appendix B: 8 Dimensions and Factor Loadings for OCC
s02-04-mapping-the-chapters-of-this-b.html:	href=judge_1.0-ch14appC#judge_1.0-ch14appC	Chapter 14	Appendix C: OCC Benchmarking
s02-04-mapping-the-chapters-of-this-b.html:	href=judge_1.0-ch15appD#judge_1.0-ch15appD	Chapter 15	Appendix D: OCC Benchmarking
s02-04-mapping-the-chapters-of-this-b.html:	href=judge_1.0-ch16appE#judge_1.0-ch16appE	Chapter 16	Appendix E: Resources
s02-04-mapping-the-chapters-of-this-b.html:	href=judge_1.0-ch17refs#judge_1.0-ch17refs	Chapter 17	References
s02-the-strategic-leader-s-new-man.html:	href=judge_1.0-ch02#judge_1.0-ch02	Chapter 2	What Is Organizational Capacity for Change?
s02-the-strategic-leader-s-new-man.html:	href=judge_1.0-ch03#judge_1.0-ch03	Chapter 3	OCC Dimension 1: Trustworthy Leadership
s02-the-strategic-leader-s-new-man.html:	href=judge_1.0-ch04#judge_1.0-ch04	Chapter 4	OCC Dimension 2: Trusting Followers
s02-the-strategic-leader-s-new-man.html:	href=judge_1.0-ch05#judge_1.0-ch05	Chapter 5	OCC Dimension 3: Capable Champions
s02-the-strategic-leader-s-new-man.html:	href=judge_1.0-ch06#judge_1.0-ch06	Chapter 6	OCC Dimension 4: Involved Midmanagement
s02-the-strategic-leader-s-new-man.html:	href=judge_1.0-ch07#judge_1.0-ch07	Chapter 7	OCC Dimension 5: Systems Thinking
